,date,type,adress,price,surface,room
0,25.03.2020,offener Parkplatz,"

Adresse
UNG Herrenmattstrasse
6330 Cham

","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
"
1,25.03.2020,Wohnung,"

Adresse
Luzernerstrasse
6330 Cham

","

Preis

CHF
1'419 pro Monat


","
Fläche
-
","
Zimmer
3
"
2,25.03.2020,Tiefgarage,"

Adresse
LORZENHOF 19
6330 Cham

","

Preis

CHF
145 pro Monat


","
Fläche
-
","
Zimmer
-
"
3,25.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
202 Jahr/m2


","
Fläche
349 m2
","
Zimmer
-
"
4,25.03.2020,Wohnung,"

Adresse
Duggelistrasse 25
6330 Cham

","

Preis

CHF
2'800 pro Monat


","
Fläche
90 m2
","
Zimmer
3.5
"
5,25.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
213 Jahr/m2


","
Fläche
1159 m2
","
Zimmer
-
"
6,25.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
211 Jahr/m2


","
Fläche
1508 m2
","
Zimmer
-
"
7,24.03.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
2'150 pro Monat


","
Fläche
38 m2
","
Zimmer
2
"
8,24.03.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
2'050 pro Monat


","
Fläche
 32 m2
","
Zimmer
1.5
"
9,24.03.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
2'500 pro Monat


","
Fläche
50 m2
","
Zimmer
2.5
"
10,24.03.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
3'750 pro Monat


","
Fläche
90 m2
","
Zimmer
3.5
"
11,25.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
202 Jahr/m2


","
Fläche
349 m2
","
Zimmer
-
"
12,23.03.2020,Wohnung,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
2'050 pro Monat


","
Fläche
33 m2
","
Zimmer
2
"
13,23.03.2020,Wohnung,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
2'350 pro Monat


","
Fläche
38 m2
","
Zimmer
2
"
14,24.03.2020,Wohnung,"

Adresse
6330 Cham

","

Preis

CHF
4'200 pro Monat


","
Fläche
160 m2
","
Zimmer
5.5
"
15,18.03.2020,Wohnung,"

Adresse
 Luzernerstrasse 25
6330 Cham

","

Preis

CHF
2'270 pro Monat


","
Fläche
82 m2
","
Zimmer
3.5
"
16,18.03.2020,Hobbyraum,"

Adresse
Heiligkreuzweg 7
6330 Cham

","

Preis

CHF
130 pro Monat


","
Fläche
17 m2
","
Zimmer
-
"
