,PLZ,Kanton
0,8914,Zürich
1,8909,Zürich
2,8910,Zürich
3,8906,Zürich
4,6340,Zug
5,8915,Zürich
6,8925,Zürich
7,8908,Zürich
8,8926,Zürich
9,8934,Zürich
10,8933,Zürich
11,8932,Zürich
12,8912,Zürich
13,8913,Zürich
14,8911,Zürich
15,8143,Zürich
16,8907,Zürich
17,8452,Zürich
18,8463,Zürich
19,8415,Zürich
20,8414,Zürich
21,8447,Zürich
22,8458,Zürich
23,8245,Zürich
24,8246,Zürich
25,8416,Zürich
26,8247,Zürich
27,8450,Zürich
28,8444,Zürich
29,8457,Zürich
30,8451,Zürich
31,8453,Zürich
32,8461,Zürich
33,8212,Zürich
34,8248,Zürich
36,8460,Zürich
37,8464,Zürich
38,8466,Zürich
39,8475,Zürich
40,8462,Zürich
42,8478,Zürich
43,8465,Zürich
45,8467,Zürich
46,8459,Zürich
47,8184,Zürich
48,8303,Zürich
49,8180,Zürich
50,8305,Zürich
51,8600,Zürich
52,8193,Zürich
53,8197,Zürich
54,8424,Zürich
55,8427,Zürich
57,8428,Zürich
59,8192,Zürich
61,8182,Zürich
63,8181,Zürich
64,8194,Zürich
65,8152,Zürich
66,8302,Zürich
67,8309,Zürich
68,8426,Zürich
70,8425,Zürich
71,8052,Zürich
76,8304,Zürich
77,8195,Zürich
78,8196,Zürich
81,8185,Zürich
82,8164,Zürich
83,8113,Zürich
84,8107,Zürich
85,8108,Zürich
86,8114,Zürich
87,8157,Zürich
88,8115,Zürich
89,8162,Zürich
91,8173,Zürich
92,8174,Zürich
93,8172,Zürich
94,8155,Zürich
95,8156,Zürich
96,8166,Zürich
97,8154,Zürich
98,5462,Zürich
99,8165,Zürich
101,8112,Zürich
102,8158,Zürich
103,8105,Zürich
104,8106,Zürich
107,8153,Zürich
111,8175,Zürich
114,8187,Zürich
115,8340,Zürich
116,8344,Zürich
117,8345,Zürich
118,8498,Zürich
119,8608,Zürich
120,8633,Zürich
123,8632,Zürich
124,8635,Zürich
125,8636,Zürich
126,8494,Zürich
127,8496,Zürich
128,8497,Zürich
130,8614,Zürich
131,8617,Zürich
132,8624,Zürich
133,8625,Zürich
134,8626,Zürich
135,8627,Zürich
138,8342,Zürich
140,8630,Zürich
142,8607,Zürich
144,8637,Zürich
147,8620,Zürich
148,8623,Zürich
150,8134,Zürich
151,8802,Zürich
152,8803,Zürich
153,8135,Zürich
154,8942,Zürich
155,8805,Zürich
156,8833,Zürich
158,8136,Zürich
159,8800,Zürich
160,8703,Zürich
162,8704,Zürich
164,8634,Zürich
165,8714,Zürich
166,8127,Zürich
167,8700,Zürich
168,8708,Zürich
169,8706,Zürich
170,8618,Zürich
171,8712,Zürich
172,8713,Zürich
173,8707,Zürich
174,8126,Zürich
175,8125,Zürich
176,8702,Zürich
177,8308,Zürich
178,8320,Zürich
179,8335,Zürich
180,8310,Zürich
181,8312,Zürich
182,8315,Zürich
183,8317,Zürich
184,8330,Zürich
185,8331,Zürich
187,8322,Zürich
188,8332,Zürich
190,8484,Zürich
191,8486,Zürich
192,8492,Zürich
193,8493,Zürich
195,8488,Zürich
196,8489,Zürich
197,8044,Zürich
198,8051,Zürich
201,8603,Zürich
203,8132,Zürich
204,8133,Zürich
205,8117,Zürich
206,8118,Zürich
207,8121,Zürich
208,8606,Zürich
209,8122,Zürich
210,8123,Zürich
211,8124,Zürich
219,8610,Zürich
221,8615,Zürich
222,8616,Zürich
224,8307,Zürich
225,8604,Zürich
226,8605,Zürich
227,8306,Zürich
228,8602,Zürich
229,8479,Zürich
230,8311,Zürich
231,8471,Zürich
232,8421,Zürich
233,8474,Zürich
234,8548,Zürich
235,8352,Zürich
236,8500,Zürich
237,8523,Zürich
238,8442,Zürich
239,8412,Zürich
240,8413,Zürich
241,8422,Zürich
242,8545,Zürich
243,8354,Zürich
244,8405,Zürich
245,8418,Zürich
246,8472,Zürich
247,8363,Zürich
250,8495,Zürich
253,8400,Zürich
254,8404,Zürich
256,8406,Zürich
257,8408,Zürich
258,8409,Zürich
259,8482,Zürich
260,8542,Zürich
262,8483,Zürich
264,8487,Zürich
265,8904,Zürich
266,8142,Zürich
267,8903,Zürich
268,8952,Zürich
269,8953,Zürich
270,8951,Zürich
271,8954,Zürich
272,8102,Zürich
273,8955,Zürich
274,8902,Zürich
278,8103,Zürich
282,8104,Zürich
284,8001,Zürich
285,8002,Zürich
286,8003,Zürich
287,8004,Zürich
288,8005,Zürich
289,8006,Zürich
290,8008,Zürich
291,8032,Zürich
292,8037,Zürich
293,8038,Zürich
294,8041,Zürich
296,8045,Zürich
297,8046,Zürich
298,8047,Zürich
299,8048,Zürich
300,8049,Zürich
301,8050,Zürich
304,8053,Zürich
305,8055,Zürich
306,8057,Zürich
307,8064,Zürich
314,8468,Zürich
315,8476,Zürich
316,8477,Zürich
317,8525,Zürich
318,8804,Zürich
319,8820,Zürich
320,8824,Zürich
321,8825,Zürich
322,8353,Zürich
324,8355,Zürich
328,8810,Zürich
329,8815,Zürich
330,8816,Zürich
333,8314,Zürich
338,8499,Zürich
340,8543,Zürich
341,8544,Zürich
342,8546,Zürich
343,3250,Bern
344,3267,Bern
345,3270,Bern
346,3273,Bern
347,3282,Bern
348,3283,Bern
349,3257,Bern
350,3262,Bern
351,3207,Bern
352,3226,Bern
355,3252,Bern
357,2557,Bern
359,3292,Bern
360,3042,Bern
361,3045,Bern
362,3046,Bern
363,3036,Bern
364,3271,Bern
365,3053,Bern
366,3251,Bern
367,3254,Bern
368,3255,Bern
369,3256,Bern
371,3054,Bern
372,3035,Bern
373,3266,Bern
375,3268,Bern
377,4912,Bern
378,4922,Bern
379,4938,Bern
380,4944,Bern
382,4913,Bern
383,3368,Bern
384,4917,Bern
385,4955,Bern
386,4900,Bern
387,4916,Bern
388,4924,Bern
390,4932,Bern
391,4919,Bern
393,4934,Bern
394,4935,Bern
395,4936,Bern
397,6146,Bern
398,6147,Bern
400,4943,Bern
402,4914,Bern
405,4933,Bern
406,4911,Bern
409,4937,Bern
410,4942,Bern
412,4853,Bern
413,4923,Bern
414,3004,Bern
415,3005,Bern
416,3006,Bern
417,3007,Bern
418,3008,Bern
419,3010,Bern
420,3011,Bern
421,3012,Bern
422,3013,Bern
423,3014,Bern
424,3015,Bern
425,3018,Bern
426,3019,Bern
427,3020,Bern
428,3027,Bern
429,3032,Bern
430,3037,Bern
431,3048,Bern
432,3063,Bern
433,3072,Bern
434,3073,Bern
435,3084,Bern
436,3097,Bern
437,3065,Bern
438,3066,Bern
439,3326,Bern
440,3047,Bern
442,3038,Bern
446,3095,Bern
448,3098,Bern
449,3122,Bern
450,3144,Bern
451,3145,Bern
452,3147,Bern
453,3172,Bern
454,3173,Bern
455,3174,Bern
457,3074,Bern
458,3076,Bern
459,3086,Bern
460,3096,Bern
464,3067,Bern
468,3068,Bern
470,3513,Bern
472,3033,Bern
473,3034,Bern
478,3043,Bern
479,3044,Bern
481,3049,Bern
482,3052,Bern
490,2500,Bern
491,2502,Bern
492,2503,Bern
493,2504,Bern
494,2505,Bern
495,2532,Bern
497,2533,Bern
498,3296,Bern
499,3263,Bern
500,3294,Bern
501,3264,Bern
502,3293,Bern
504,2543,Bern
505,3297,Bern
507,2554,Bern
508,3298,Bern
509,2542,Bern
510,3295,Bern
512,3426,Bern
513,3473,Bern
514,3323,Bern
515,3400,Bern
516,3413,Bern
517,3414,Bern
518,3472,Bern
519,3422,Bern
520,3423,Bern
521,3424,Bern
522,3425,Bern
524,3415,Bern
525,3419,Bern
526,3432,Bern
527,3433,Bern
529,3412,Bern
532,3416,Bern
533,3418,Bern
535,3429,Bern
536,3324,Bern
537,3325,Bern
539,3309,Bern
545,3421,Bern
555,3464,Bern
557,3474,Bern
558,2534,Bern
559,2606,Bern
560,2608,Bern
561,2720,Bern
562,2610,Bern
563,2612,Bern
564,2613,Bern
565,2607,Bern
567,2723,Bern
571,2333,Bern
575,2535,Bern
576,2616,Bern
577,2536,Bern
578,2538,Bern
579,2603,Bern
580,2345,Bern
582,2605,Bern
588,2615,Bern
590,2722,Bern
597,2537,Bern
600,2604,Bern
601,2732,Bern
602,2735,Bern
603,3237,Bern
604,3232,Bern
605,3233,Bern
606,3235,Bern
607,2577,Bern
608,2525,Bern
610,3238,Bern
611,3236,Bern
614,2575,Bern
615,2576,Bern
616,3225,Bern
621,3234,Bern
622,3314,Bern
623,3315,Bern
624,4573,Bern
627,3306,Bern
628,3308,Bern
630,3312,Bern
631,3313,Bern
633,3317,Bern
634,3303,Bern
635,3305,Bern
637,3322,Bern
639,3302,Bern
644,3427,Bern
647,3428,Bern
648,4564,Bern
650,3715,Bern
651,3725,Bern
652,3702,Bern
653,3703,Bern
654,3704,Bern
655,3711,Bern
656,3713,Bern
657,3714,Bern
659,3716,Bern
660,3724,Bern
663,3717,Bern
664,3718,Bern
669,3722,Bern
670,3723,Bern
671,3800,Bern
672,3803,Bern
673,3806,Bern
674,3855,Bern
675,3856,Bern
677,3706,Bern
678,3707,Bern
679,3816,Bern
680,3818,Bern
681,3823,Bern
683,3813,Bern
684,3814,Bern
685,3815,Bern
686,3804,Bern
687,3858,Bern
689,3807,Bern
690,3822,Bern
692,3824,Bern
693,3825,Bern
694,3826,Bern
698,3853,Bern
699,3854,Bern
701,3805,Bern
702,3852,Bern
707,3812,Bern
709,3507,Bern
710,3508,Bern
712,3531,Bern
713,3533,Bern
714,3534,Bern
715,3538,Bern
716,3673,Bern
717,3671,Bern
718,3510,Bern
719,3082,Bern
720,3506,Bern
723,3114,Bern
724,3629,Bern
725,3503,Bern
727,3434,Bern
730,3615,Bern
731,3672,Bern
734,3532,Bern
735,3083,Bern
736,3110,Bern
737,3111,Bern
738,3504,Bern
740,3674,Bern
745,3112,Bern
746,3113,Bern
748,3512,Bern
751,3075,Bern
753,3077,Bern
754,3078,Bern
768,1595,Bern
769,3177,Bern
