,ID,date,Strasse,Hausnummer,PLZ,Ort,type,Zimmer,Fläche,Preis
5,5,22.03.2020,Kapellgasse ,2,9320,Arbon,Wohnung,2,42,920
6,6,22.03.2020,Sonnenstrasse ,62,8200,Schaffhausen,Wohnung,4,65,1076
13,13,22.03.2020,Gartenstrasse ,2,8902,Urdorf,Wohnung,2.5,55,1550
16,16,22.03.2020,Im Wingert ,15,8049,Zürich,Wohnung,2,50,1750
17,17,22.03.2020, Waldgartenweg ,20,8057,Zürich,Wohnung,4.5,100,2100
36,36,22.03.2020,Bergstrasse ,14,8712,Stäfa,Wohnung,3.5,116,1990
40,40,22.03.2020,Eichenweg ,15,8134,Adliswil,Wohnung,3.5,110,2850
41,41,22.03.2020,"Querstrasse, ",16,8050,Zürich,Wohnung,3,71,2020
61,61,22.03.2020,Bühlwiesenstrasse ,22,8600,Dübendorf,Wohnung,2.5,53,1760
66,66,22.03.2020, Chlosterstrasse ,21,8914,Aeugst am Albis,Wohnung,1.5,65,1180
70,70,22.03.2020,Kraftstrasse ,28,8044,Zürich,Wohnung,2,45,2151
72,72,22.03.2020,Bürglistrasse ,5,9000,St. Gallen,Möbliertes Wohnobjekt,4,110,1600
74,74,22.03.2020,Feldbergstrasse ,41,4057,Basel,Hobbyraum,-,60,900
75,75,22.03.2020,Hauptstrasse ,49,5032,Aarau Rohr,Wohnung,3.5,65,1030
77,77,22.03.2020,Mattenstrasse ,25,5430,Wettingen,Wohnung,4.5,105,1980
78,78,22.03.2020,Metzgerrainle ,4,6004,Luzern,Möbliertes Wohnobjekt,1,40,1400
93,93,22.03.2020,Sankt Margrethenstrasse ,12,7000,Chur,Wohnung,1.5,45,850
95,95,22.03.2020,Wilenstrasse ,29,9500,Wil SG,Wohnung,3.5,80,1400
97,97,22.03.2020,"In der Ey, ",46,8047,Zürich,Wohnung,3.5,84,2630
102,102,22.03.2020,Martinstrasse ,8,4622,Egerkingen,Wohnung,4.5,187,2241
106,106,22.03.2020,Obere Buechi str.,10,6377,Seelisberg,Wohnung,1.5,28,660
109,109,22.03.2020, Bundesstrasse ,7,6003,Luzern,Wohnung,2,45,1350
110,110,22.03.2020,Bartlishaldenstrasse ,1,9434,Au SG,Attikawohnung,2.5,70,1590
111,111,22.03.2020,Bartlishaldenstrasse ,1,9434,Au SG,Wohnung,3.5,93,1730
195,195,22.03.2020,Kirchweg ,23,8196,Wil ZH,Wohnung,3.5,88,1890
196,196,22.03.2020,Tranchepied ,22,1278,La Rippe,Wohnung,4,105,2015
201,201,21.03.2020,Seestrasse ,50,8802,Kilchberg ZH,Wohnung,3,79,2430
202,202,21.03.2020,Von May-Str. ,30,3604,Thun,Wohnung,3.5,85,1730
203,203,21.03.2020,Mühletalweg ,3,4600,Olten,Wohnung,3,66,1300
204,204,21.03.2020,Rue Joseph Reichlen ,5,1700,Fribourg,Wohnung,2,56,1321
206,206,21.03.2020,Lehmgrubenweg ,2,4802,Strengelbach,Wohnung,3.5,65,1200
208,208,22.03.2020,Industriestrasse ,26,4528,Zuchwil,Wohnung,4.5,128,2250
209,209,21.03.2020,Wagnergasse ,5,7000,Chur,Wohnung,4.5,80,1390
210,210,21.03.2020,Cavendel ,44,7408,Cazis,Wohnung,2.5,60,1295
230,230,21.03.2020,Bischofszellerstrasse ,14,9200,Gossau SG,Wohnung,4.5,102,1924
231,231,21.03.2020,Bischofszellerstrasse ,16,9200,Gossau SG,Wohnung,2.5,65,1390
232,232,21.03.2020,Bischofszellerstrasse ,14,9200,Gossau SG,Wohnung,3.5,90,1716
235,235,21.03.2020,Av. Druey ,17,1018,Lausanne,Wohnung,2,54,1670
236,236,21.03.2020,Im Riet ,6,8200,Schaffhausen,Wohnung,3.5,80,1690
237,237,21.03.2020,Bienkenstr. ,24,4702,Oensingen,Büro,-,241,184
