,ID,date,Strasse,Hausnummer,PLZ,Ort,Kanton,type,Zimmer,Fläche,Preis
0,5,22.03.2020,Kapellgasse ,2,9320,Arbon,Thurgau,Wohnung,2,42,920
1,6,22.03.2020,Sonnenstrasse ,62,8200,Schaffhausen,Schaffhausen,Wohnung,4,65,1076
2,13,22.03.2020,Gartenstrasse ,2,8902,Urdorf,Zürich,Wohnung,2.5,55,1550
3,16,22.03.2020,Im Wingert ,15,8049,Zürich,Zürich,Wohnung,2,50,1750
4,17,22.03.2020, Waldgartenweg ,20,8057,Zürich,Zürich,Wohnung,4.5,100,2100
5,36,22.03.2020,Bergstrasse ,14,8712,Stäfa,Zürich,Wohnung,3.5,116,1990
6,40,22.03.2020,Eichenweg ,15,8134,Adliswil,Zürich,Wohnung,3.5,110,2850
7,41,22.03.2020,"Querstrasse, ",16,8050,Zürich,Zürich,Wohnung,3,71,2020
8,61,22.03.2020,Bühlwiesenstrasse ,22,8600,Dübendorf,Zürich,Wohnung,2.5,53,1760
9,66,22.03.2020, Chlosterstrasse ,21,8914,Aeugst am Albis,Zürich,Wohnung,1.5,65,1180
10,70,22.03.2020,Kraftstrasse ,28,8044,Zürich,Zürich,Wohnung,2,45,2151
11,72,22.03.2020,Bürglistrasse ,5,9000,St. Gallen,St. Gallen,Möbliertes Wohnobjekt,4,110,1600
12,74,22.03.2020,Feldbergstrasse ,41,4057,Basel,Basel-Stadt,Hobbyraum,-,60,900
13,75,22.03.2020,Hauptstrasse ,49,5032,Aarau Rohr,Aargau,Wohnung,3.5,65,1030
14,77,22.03.2020,Mattenstrasse ,25,5430,Wettingen,Aargau,Wohnung,4.5,105,1980
15,78,22.03.2020,Metzgerrainle ,4,6004,Luzern,Luzern,Möbliertes Wohnobjekt,1,40,1400
16,93,22.03.2020,Sankt Margrethenstrasse ,12,7000,Chur,Graubünden,Wohnung,1.5,45,850
17,95,22.03.2020,Wilenstrasse ,29,9500,Wil SG,St. Gallen,Wohnung,3.5,80,1400
18,97,22.03.2020,"In der Ey, ",46,8047,Zürich,Zürich,Wohnung,3.5,84,2630
19,102,22.03.2020,Martinstrasse ,8,4622,Egerkingen,Solothurn,Wohnung,4.5,187,2241
20,106,22.03.2020,Obere Buechi str.,10,6377,Seelisberg,Uri,Wohnung,1.5,28,660
21,109,22.03.2020, Bundesstrasse ,7,6003,Luzern,Luzern,Wohnung,2,45,1350
22,110,22.03.2020,Bartlishaldenstrasse ,1,9434,Au SG,St. Gallen,Attikawohnung,2.5,70,1590
23,111,22.03.2020,Bartlishaldenstrasse ,1,9434,Au SG,St. Gallen,Wohnung,3.5,93,1730
24,195,22.03.2020,Kirchweg ,23,8196,Wil ZH,Zürich,Wohnung,3.5,88,1890
25,196,22.03.2020,Tranchepied ,22,1278,La Rippe,Waadt,Wohnung,4,105,2015
26,201,21.03.2020,Seestrasse ,50,8802,Kilchberg ZH,Zürich,Wohnung,3,79,2430
27,202,21.03.2020,Von May-Str. ,30,3604,Thun,Bern,Wohnung,3.5,85,1730
28,203,21.03.2020,Mühletalweg ,3,4600,Olten,Solothurn,Wohnung,3,66,1300
29,204,21.03.2020,Rue Joseph Reichlen ,5,1700,Fribourg,Freiburg,Wohnung,2,56,1321
