ID,date,Typ,Zimmer,Fläche,Preis,PLZ BfS,PLZ Crawler,Ort,Kanton
5,22/03/2020,Wohnung,2,42,920,9320,9320,Arbon,Thurgau
5,22/03/2020,Wohnung,2,42,920,9320,9320,Arbon,Thurgau
6,22/03/2020,Wohnung,4,65,1076,8200,8200,Schaffhausen,Schaffhausen
6,22/03/2020,Wohnung,4,65,1076,8200,8200,Schaffhausen,Schaffhausen
13,22/03/2020,Wohnung,"2,5",55,1550,8902,8902,Urdorf,Zürich
13,22/03/2020,Wohnung,"2,5",55,1550,8902,8902,Urdorf,Zürich
16,22/03/2020,Wohnung,2,50,1750,8049,8049,Zürich,Zürich
17,22/03/2020,Wohnung,"4,5",100,2100,8057,8057,Zürich,Zürich
36,22/03/2020,Wohnung,"3,5",116,1990,8712,8712,Stäfa,Zürich
40,22/03/2020,Wohnung,"3,5",110,2850,8134,8134,Adliswil,Zürich
40,22/03/2020,Wohnung,"3,5",110,2850,8134,8134,Adliswil,Zürich
41,22/03/2020,Wohnung,3,71,2020,8050,8050,Zürich,Zürich
61,22/03/2020,Wohnung,"2,5",53,1760,8600,8600,Dübendorf,Zürich
61,22/03/2020,Wohnung,"2,5",53,1760,8600,8600,Dübendorf,Zürich
61,22/03/2020,Wohnung,"2,5",53,1760,8600,8600,Dübendorf,Zürich
66,22/03/2020,Wohnung,"1,5",65,1180,8914,8914,Aeugst am Albis,Zürich
70,22/03/2020,Wohnung,2,45,2151,8044,8044,Zürich,Zürich
70,22/03/2020,Wohnung,2,45,2151,8044,8044,Zürich,Zürich
72,22/03/2020,Möbliertes Wohnobjekt,4,110,1600,9000,9000,St. Gallen,St. Gallen
75,22/03/2020,Wohnung,"3,5",65,1030,5032,5032,Aarau Rohr,Aargau
77,22/03/2020,Wohnung,"4,5",105,1980,5430,5430,Wettingen,Aargau
78,22/03/2020,Möbliertes Wohnobjekt,1,40,1400,6004,6004,Luzern,Luzern
78,22/03/2020,Möbliertes Wohnobjekt,1,40,1400,6004,6004,Luzern,Luzern
93,22/03/2020,Wohnung,"1,5",45,850,7000,7000,Chur,Graubünden
93,22/03/2020,Wohnung,"1,5",45,850,7000,7000,Chur,Graubünden
95,22/03/2020,Wohnung,"3,5",80,1400,9500,9500,Wil SG,Thurgau
95,22/03/2020,Wohnung,"3,5",80,1400,9500,9500,Wil SG,St. Gallen
95,22/03/2020,Wohnung,"3,5",80,1400,9500,9500,Wil SG,St. Gallen
95,22/03/2020,Wohnung,"3,5",80,1400,9500,9500,Wil SG,St. Gallen
97,22/03/2020,Wohnung,"3,5",84,2630,8047,8047,Zürich,Zürich
102,22/03/2020,Wohnung,"4,5",187,2241,4622,4622,Egerkingen,Solothurn
106,22/03/2020,Wohnung,"1,5",28,660,6377,6377,Seelisberg,Nidwalden
106,22/03/2020,Wohnung,"1,5",28,660,6377,6377,Seelisberg,Uri
109,22/03/2020,Wohnung,2,45,1350,6003,6003,Luzern,Luzern
110,22/03/2020,Attikawohnung,"2,5",70,1590,9434,9434,Au SG,St. Gallen
111,22/03/2020,Wohnung,"3,5",93,1730,9434,9434,Au SG,St. Gallen
195,22/03/2020,Wohnung,"3,5",88,1890,8196,8196,Wil ZH,Zürich
195,22/03/2020,Wohnung,"3,5",88,1890,8196,8196,Wil ZH,Zürich
196,22/03/2020,Wohnung,4,105,2015,1278,1278,La Rippe,Waadt
201,21/03/2020,Wohnung,3,79,2430,8802,8802,Kilchberg ZH,Zürich
202,21/03/2020,Wohnung,"3,5",85,1730,3604,3604,Thun,Bern
203,21/03/2020,Wohnung,3,66,1300,4600,4600,Olten,Aargau
203,21/03/2020,Wohnung,3,66,1300,4600,4600,Olten,Solothurn
203,21/03/2020,Wohnung,3,66,1300,4600,4600,Olten,Solothurn
203,21/03/2020,Wohnung,3,66,1300,4600,4600,Olten,Solothurn
204,21/03/2020,Wohnung,2,56,1321,1700,1700,Fribourg,Freiburg
204,21/03/2020,Wohnung,2,56,1321,1700,1700,Fribourg,Freiburg
204,21/03/2020,Wohnung,2,56,1321,1700,1700,Fribourg,Freiburg
206,21/03/2020,Wohnung,"3,5",65,1200,4802,4802,Strengelbach,Aargau
206,21/03/2020,Wohnung,"3,5",65,1200,4802,4802,Strengelbach,Aargau
208,22/03/2020,Wohnung,"4,5",128,2250,4528,4528,Zuchwil,Solothurn
208,22/03/2020,Wohnung,"4,5",128,2250,4528,4528,Zuchwil,Solothurn
209,21/03/2020,Wohnung,"4,5",80,1390,7000,7000,Chur,Graubünden
209,21/03/2020,Wohnung,"4,5",80,1390,7000,7000,Chur,Graubünden
210,21/03/2020,Wohnung,"2,5",60,1295,7408,7408,Cazis,Graubünden
230,21/03/2020,Wohnung,"4,5",102,1924,9200,9200,Gossau SG,St. Gallen
230,21/03/2020,Wohnung,"4,5",102,1924,9200,9200,Gossau SG,St. Gallen
230,21/03/2020,Wohnung,"4,5",102,1924,9200,9200,Gossau SG,St. Gallen
231,21/03/2020,Wohnung,"2,5",65,1390,9200,9200,Gossau SG,St. Gallen
