,date,type,adress,price,surface,room
0,07.04.2020,Wohnung,"

Adresse
Zugerstrasse 116
6330 Cham

","

Preis

CHF
2'180 pro Monat


","
Fläche
-
","
Zimmer
2.5
"
1,07.04.2020,Möbliertes Wohnobjekt,"

Adresse
6330 Cham

","

Preis

CHF
2'688 pro Monat


","
Fläche
38 m2
","
Zimmer
2
"
2,07.04.2020,Möbliertes Wohnobjekt,"

Adresse
6330 Cham

","

Preis

CHF
3'125 pro Monat


","
Fläche
50 m2
","
Zimmer
2
"
3,07.04.2020,Wohnung,"

Adresse
Luzernerstrasse 54
6330 Cham

","

Preis

CHF
1'900 pro Monat


","
Fläche
56 m2
","
Zimmer
2.5
"
4,07.04.2020,Wohnung,"

Adresse
Klostermatt
6330 Cham

","

Preis

CHF
4'300 pro Monat


","
Fläche
125 m2
","
Zimmer
 4.5
"
5,07.04.2020,Gewerbe,"

Adresse
Alte Steinhauserstrasse 33
6330 Cham

","

Preis

CHF
1'650 pro Monat


","
Fläche
95 m2
","
Zimmer
-
"
6,06.04.2020,Büro,"

Adresse
Hinterbergstrasse 21
6330 Cham

","

Preis

CHF
1'600 pro Monat


","
Fläche
109 m2
","
Zimmer
-
"
7,06.04.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
2'990 pro Monat


","
Fläche
130 m2
","
Zimmer
4.5
"
8,06.04.2020,Einliegerwohnung,"

Adresse
Zugerstrasse 114
6330 Cham

","

Preis

CHF
1'730 pro Monat


","
Fläche
39 m2
","
Zimmer
1.5
"
9,03.04.2020,Büro,"

Adresse
Alte Steinhauserstrasse 35
6330 Cham

","

Preis

CHF
2'000 pro Monat


","
Fläche
-
","
Zimmer
-
"
10,03.04.2020,Büro,"

Adresse
Riedstr. 1
6330 Cham

","

Preis

CHF
160 Jahr/m2


","
Fläche
55 m2
","
Zimmer
-
"
11,03.04.2020,Büro,"

Adresse
Riedstr. 1
6330 Cham

","

Preis

CHF
160 Jahr/m2


","
Fläche
24 m2
","
Zimmer
-
"
12,03.04.2020,Büro,"

Adresse
Riedstr. 1
6330 Cham

","

Preis

CHF
180 Jahr/m2


","
Fläche
32 m2
","
Zimmer
-
"
13,01.04.2020,Büro,"

Adresse
Gewerbestrasse 10
6330 Cham

","

Preis

CHF
141 Jahr/m2


","
Fläche
265 m2
","
Zimmer
-
"
14,01.04.2020,Büro,"

Adresse
Zugerstrasse 4
6330 Cham

","

Preis

CHF
250 Jahr/m2


","
Fläche
250 m2
","
Zimmer
6
"
15,01.04.2020,Wohnung,"

Adresse
Alpenblick 7
6330 Cham

","

Preis

CHF
2'990 pro Monat


","
Fläche
106 m2
","
Zimmer
4.5
"
16,31.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 21
6330 Cham

","

Preis

CHF
150 Jahr/m2


","
Fläche
128 m2
","
Zimmer
-
"
17,30.03.2020,Wohnung,"

Adresse
Mugerenstrasse 35c
6330 Cham

","

Preis

CHF
4'510 pro Monat


","
Fläche
 157 m2
","
Zimmer
5.5
"
18,30.03.2020,Wohnung,"

Adresse
Alpenblick 3
6330 Cham

","

Preis

CHF
2'200 pro Monat


","
Fläche
90 m2
","
Zimmer
5
"
19,30.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 21
6330 Cham

","

Preis

CHF
150 Jahr/m2


","
Fläche
128 m2
","
Zimmer
4
"
20,28.03.2020,Lager,"

Adresse
Brunnmatt 14
6330 Cham

","

Preis

CHF
1'105 pro Monat


","
Fläche
123 m2
","
Zimmer
-
"
21,28.03.2020,offener Parkplatz,"

Adresse
Brunnmatt 14
6330 Cham

","

Preis

CHF
95 pro Monat


","
Fläche
-
","
Zimmer
-
"
22,07.04.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
202 Jahr/m2


","
Fläche
349 m2
","
Zimmer
-
"
23,02.04.2020,Tiefgarage,"

Adresse
LORZENHOF 19
6330 Cham

","

Preis

CHF
145 pro Monat


","
Fläche
-
","
Zimmer
-
"
24,30.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
213 Jahr/m2


","
Fläche
1159 m2
","
Zimmer
-
"
25,30.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
211 Jahr/m2


","
Fläche
1508 m2
","
Zimmer
-
"
26,06.04.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
1'590 pro Monat


","
Fläche
38 m2
","
Zimmer
2
"
27,06.04.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
1'590 pro Monat


","
Fläche
32 m2
","
Zimmer
1.5
"
28,06.04.2020,Möbliertes Wohnobjekt,"

Adresse
Luzernerstrasse 19
 6330 Cham

","

Preis

CHF
1'990 pro Monat


","
Fläche
50 m2
","
Zimmer
2.5
"
29,30.03.2020,Büro,"

Adresse
Alte Steinhauserstrasse 14
6330 Cham

","

Preis

CHF
202 Jahr/m2


","
Fläche
349 m2
","
Zimmer
-
"
30,06.04.2020,Wohnung,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
1'590 pro Monat


","
Fläche
33 m2
","
Zimmer
2
"
31,06.04.2020,Wohnung,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

CHF
1'590 pro Monat


","
Fläche
38 m2
","
Zimmer
2
"
32,18.03.2020,Hobbyraum,"

Adresse
Heiligkreuzweg 7
6330 Cham

","

Preis

CHF
130 pro Monat


","
Fläche
17 m2
","
Zimmer
-
"
33,18.03.2020,Hobbyraum,"

Adresse
Heiligkreuzweg 7
6330 Cham

","

Preis

CHF
130 pro Monat


","
Fläche
17 m2
","
Zimmer
-
"
34,16.03.2020,Wohnung,"

Adresse
Zugerstrasse 44
6330 Cham

","

Preis

CHF
2'800 pro Monat


","
Fläche
-
","
Zimmer
5.5
"
35,25.03.2020,Wohnung,"

Adresse
Mugerenmatt 27
6330 Cham

","

Preis

CHF
3'100 pro Monat


","
Fläche
145 m2
","
Zimmer
4.5
"
36,10.03.2020,Büro,"

Adresse
Zugerstrasse 4
6330 Cham

","

Preis

CHF
250 Jahr/m2


","
Fläche
250 m2
","
Zimmer
-
"
37,27.03.2020,Attikawohnung,"

Adresse
Klostermatt cham
6330 Cham

","

Preis

CHF
6'650 pro Monat


","
Fläche
160 m2
","
Zimmer
5.5
 "
38,05.04.2020,Attikawohnung,"

Adresse
6330 Cham

","

Preis

CHF
6'650 pro Monat


","
Fläche
160 m2
","
Zimmer
5.5
"
39,02.04.2020,Möbliertes Wohnobjekt,"

Adresse
Brunnmatt 6
6330 Cham

","

Preis

CHF
3'250 pro Monat


","
Fläche
66 m2
","
Zimmer
1
"
40,07.04.2020,Wohnung,"

Adresse
Alpenblick 6
6330 Cham

","

Preis

CHF
2'900 pro Monat


","
Fläche
91 m2
","
Zimmer
4.5
"
41,09.03.2020,Büro,"

Adresse
Dorfplatz 6
6330 Cham

","

Preis

CHF
4'000 pro Monat


","
Fläche
176 m2
","
Zimmer
-
"
42,19.03.2020,Restaurant,"

Adresse
Luzernerstrasse 19
6330 Cham

","

Preis

Auf Anfrage


","
Fläche
-
","
Zimmer
-
"
43,10.03.2020,Wohnung,"

Adresse
Langackerstrasse 21
6330 Cham

","

Preis

CHF
2'370 pro Monat


","
Fläche
-
","
Zimmer
3
"
44,28.02.2020,Büro,"

Adresse
Riedstrasse 3, 5
6330 Cham

","

Preis

CHF
110 Jahr/m2


","
Fläche
329 m2
","
Zimmer
-
"
45,28.02.2020,Dachwohnung,"

Adresse
Eizmoosweg
6330 Cham

","

Preis

CHF
1'900 pro Monat


","
Fläche
-
","
Zimmer
3
"
46,07.04.2020,Tiefgarage,"

Adresse
Langackerstrasse 5
6330 Cham

","

Preis

CHF
120 pro Monat


","
Fläche
-
","
Zimmer
-
"
47,27.03.2020,Atelier,"

Adresse
Luzernerstrasse
6330 Cham

","

Preis

CHF
500 pro Monat


","
Fläche
18 m2
","
Zimmer
-
"
48,19.02.2020,Wohnung,"

Adresse
Adelheid-Page-Strasse 18a
6330 Cham

","

Preis

CHF
3'500 pro Monat


","
Fläche
107 m2
","
Zimmer
3.5
"
49,19.02.2020,Maisonette / Duplex,"

Adresse
Adelheid-Page-Strasse 18a
6330 Cham

","

Preis

CHF
6'250 pro Monat


","
Fläche
178 m2
","
Zimmer
5.5
"
50,18.02.2020,Büro,"

Adresse
Alte Steinhauserstrasse 19
6330 Cham

","

Preis

CHF
594 pro Monat


","
Fläche
33 m2
","
Zimmer
-
"
51,07.04.2020,Tiefgarage,"

Adresse
Lindenstrasse 23
6330 Cham

","

Preis

CHF
135 pro Monat


","
Fläche
-
","
Zimmer
-
"
52,27.02.2020,Gewerbe,"

Adresse
Lorzenparkstrasse 12
6330 Cham

","

Preis

CHF
2'778 pro Monat


","
Fläche
115 m2
","
Zimmer
-
"
53,29.03.2020,Wohnung,"

Adresse
Rigistrasse 9
6330 Cham

","

Preis

CHF
1'950 pro Monat


","
Fläche
75 m2
","
Zimmer
3.5
"
54,07.02.2020,Gewerbe,"

Adresse
Hinterbergstrasse 19
6330 Cham

","

Preis

CHF
250 Jahr/m2


","
Fläche
-
","
Zimmer
-
"
55,10.02.2020,Gewerbe,"

Adresse
Hinterbergstrasse 19+21

6330 Cham

","

Preis

CHF
130 Jahr/m2


","
Fläche
-
","
Zimmer
-
"
56,07.02.2020,Lager,"

Adresse
6330 Cham

","

Preis

CHF
6'548 pro Monat


","
Fläche
547 m2
","
Zimmer
-
"
57,07.02.2020,Büro,"

Adresse
Hinterbergstrasse 17
6330 Cham

","

Preis

CHF
156 Jahr/m2


","
Fläche
318 m2
","
Zimmer
-
"
58,19.02.2020,Büro,"

Adresse
Hinterbergstrasse 17
6330 Cham

","

Preis

CHF
195 Jahr/m2


","
Fläche
570 m2
","
Zimmer
-
"
59,06.02.2020,Gewerbe,"

Adresse
Schulhausstrasse 2
6330 Cham

","

Preis

Auf Anfrage


","
Fläche
-
","
Zimmer
-
"
60,01.04.2020,Tiefgarage,"

Adresse
Sinserstrasse 15/17
6330 Cham

","

Preis

CHF
150 pro Monat


","
Fläche
-
","
Zimmer
-
"
61,26.03.2020,Tiefgarage,"

Adresse
Knonauerstrasse 24
6330 Cham

","

Preis

CHF
140 pro Monat


","
Fläche
-
","
Zimmer
-
"
62,07.04.2020,Lager,"

Adresse
Sinserstrasse 15
6330 Cham

","

Preis

CHF
395 pro Monat


","
Fläche
39 m2
","
Zimmer
-
"
63,02.04.2020,Wohnung,"

Adresse
Heiligkreuz
6330 Cham

","

Preis

CHF
2'900 pro Monat


","
Fläche
110 m2
","
Zimmer
3.5
"
64,31.03.2020,Geschäftshaus,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
225 Jahr/m2


","
Fläche
855 m2
","
Zimmer
-
"
65,07.04.2020,Lager,"

Adresse
Sinserstrasse 15
6330 Cham

","

Preis

CHF
225 pro Monat


","
Fläche
22 m2
","
Zimmer
-
"
66,31.03.2020,Tiefgarage,"

Adresse
Luzernerstrasse 9/11
6330 Cham

","

Preis

CHF
160 pro Monat


","
Fläche
-
","
Zimmer
-
"
67,26.03.2020,Büro,"

Adresse
Seeblick 1
6330 Cham

","

Preis

CHF
550 pro Monat


","
Fläche
 29 m2
","
Zimmer
-
"
68,26.03.2020,Lager,"

Adresse
Alpenstrasse 2
6330 Cham

","

Preis

CHF
275 pro Monat


","
Fläche
30 m2
","
Zimmer
-
"
69,31.03.2020,Gewerbe,"

Adresse
Gewerbestrasse 11
6330 Cham

","

Preis

CHF
210 Jahr/m2


","
Fläche
1220 m2
","
Zimmer
-
"
