,date,type,adress,price,surface,room
0,21.03.2020,Praxis,"

Adresse
8006 Zürich

","

Preis

CHF
3'000 pro Monat


","
Fläche
70 m2
","
Zimmer
-
"
1,21.03.2020,Praxis,"

Adresse
8006 Zürich

","

Preis

CHF
3'000 pro Monat


","
Fläche
70 m2
","
Zimmer
3
"
2,20.03.2020,Wohnung,"

Adresse
Turnerstrasse 32
8006 Zürich

","

Preis

CHF
2'000 pro Monat


","
Fläche
-
","
Zimmer
2
"
3,20.03.2020,Wohnung,"

Adresse
Steinhausweg 1
8006 Zürich

","

Preis

CHF
3'192 pro Monat


","
Fläche
102 m2
","
Zimmer
4.5
"
4,18.03.2020,Wohnung,"

Adresse
Scheuchzerstrasse 67
8006 Zürich

","

Preis

CHF
1'500 pro Monat


","
Fläche
26 m2
","
Zimmer
1
"
5,18.03.2020,Möbliertes Wohnobjekt,"

Adresse
Kronenstrasse 37
8006 Zürich

","

Preis

CHF
1'900 pro Monat


","
Fläche
30 m2
","
Zimmer
1
"
6,19.03.2020,Wohnung,"

Adresse
Winterthurerstr. 76
8006 Zürich

","

Preis

CHF
1'210 pro Monat


","
Fläche
38 m2
","
Zimmer
1.5
"
7,17.03.2020,Wohnung,"

Adresse
Goetzstrasse
8006 Zürich

","

Preis

CHF
2'400 pro Monat


","
Fläche
100 m2
","
Zimmer
4
"
8,16.03.2020,Wohnung,"

Adresse
Kurvenstrasse 21
8006 Zürich

","

Preis

CHF
2'640 pro Monat


","
Fläche
60 m2
","
Zimmer
3
"
9,16.03.2020,Wohnung,"

Adresse
Ottikerstrasse 38
8006 Zürich

","

Preis

CHF
2'710 pro Monat


","
Fläche
70 m2
","
Zimmer
2.5
"
10,13.03.2020,Squash / Badminton,"

Adresse
Hadlaubstrasse 104
8006 Zürich

","

Preis

CHF
1'440 pro Monat


","
Fläche
120 m2
","
Zimmer
-
"
11,13.03.2020,Atelier,"

Adresse
Hadlaubstrasse 104
8006 Zürich

","

Preis

CHF
1'990 pro Monat


","
Fläche
150 m2
","
Zimmer
-
 "
12,19.03.2020,Wohnung,"

Adresse
Hadlaubstrasse
8006 Zürich

","

Preis

CHF
3'600 pro Monat


","
Fläche
130 m2
","
Zimmer
4
"
13,13.03.2020,Wohnung,"

Adresse
Weinbergstrasse 152
8006 Zürich

","

Preis

CHF
3'800 pro Monat


","
Fläche
103 m2
","
Zimmer
4.5
"
14,13.03.2020,Möbliertes Wohnobjekt,"

Adresse
8006 Zürich

","

Preis

CHF
2'880 pro Monat


","
Fläche
76 m2
","
Zimmer
3
"
15,18.03.2020,Möbliertes Wohnobjekt,"

Adresse
Weinbergstrasse 68
8006 Zürich

","

Preis

CHF
2'150 pro Monat


","
Fläche
35 m2
","
Zimmer
1.5
"
16,18.03.2020,Möbliertes Wohnobjekt,"

Adresse
Kronenstrasse 37
8006 Zürich

","

Preis

CHF
2'450 pro Monat


","
Fläche
50 m2
","
Zimmer
2
"
17,18.03.2020,Möbliertes Wohnobjekt,"

Adresse
Kronenstrasse 37
8006 Zürich

","

Preis

CHF
3'250 pro Monat


","
Fläche
70 m2
","
Zimmer
3
"
18,11.03.2020,Doppeleinfamilienhaus,"

Adresse
8006 Zürich

","

Preis

CHF
9'200 pro Monat


","
Fläche
242 m2
","
Zimmer
9.5
"
19,20.03.2020,Tiefgarage,"

Adresse
Weinbergstrasse 150
8006 Zürich

","

Preis

CHF
180 pro Monat


","
Fläche
-
","
Zimmer
-
"
20,09.03.2020,Wohnung,"

Adresse
Obstgartenstr. 36
8006 Zürich

","

Preis

CHF
1'490 pro Monat


","
Fläche
26 m2
","
Zimmer
1
"
21,16.03.2020,Gewerbe,"

Adresse
Winterthurerstrasse 98
8006 Zürich

","

Preis

CHF
330 pro Monat


","
Fläche
31 m2
","
Zimmer
-
"
22,21.03.2020,Wohnung,"

Adresse
Hotzestrasse 65
8006 Zürich

","

Preis

CHF
3'790 pro Monat


","
Fläche
112 m2
","
Zimmer
3.5
"
23,09.03.2020,Büro,"

Adresse
Rigistrasse 57
8006 Zürich

","

Preis

CHF
1'980 pro Monat


","
Fläche
75 m2
","
Zimmer
-
"
